// --------------------------------------------------
// [00,000]    [0~85]     [Index]        [Index]      
// ItemIndex   StatType   OptionIndex1   OptionIndex2
// --------------------------------------------------
   00,002      0          21             0      
   00,014      0          11             0      
   00,032      0          37             38     
   02,001      0          1              0      
   04,005      1          29             0      
   04,009      1          23             0      
   05,000      2          13             0      
   06,000      3          0              2      
   06,006      3          17             0      
   06,009      3          5              0      
   07,000      3          0              4      
   07,001      3          11             12     
   07,002      3          13             14     
   07,003      3          19             20     
   07,004      3          0              16     
   07,005      3          1              2      
   07,006      3          5              6      
   07,007      3          17             0      
   07,008      3          0              8      
   07,009      3          0              10     
   07,010      3          21             22     
   07,011      3          23             0      
   07,012      3          25             0      
   07,013      3          0              28     
   07,014      3          0              30     
   07,026      3          33             0      
   07,040      3          35             36     
   07,059      3          37             0      
   07,062      3          39             0      
   07,063      3          40             0      
   07,064      3          41             0      
   07,065      3          42             0      
   07,066      3          43             0      
   07,067      3          44             0      
   07,068      3          45             0      
   07,069      3          46             0      
   07,070      3          47             0      
   07,072      3          49             0      
   08,000      3          3              0      
   08,001      3          0              12     
   08,002      3          13             0      
   08,003      3          19             20     
   08,004      3          15             16     
   08,005      3          1              0      
   08,006      3          5              6      
   08,007      3          17             18     
   08,008      3          7              0      
   08,009      3          9              10     
   08,010      3          0              22     
   08,011      3          23             0      
   08,012      3          25             0      
   08,013      3          27             0      
   08,014      3          29             30     
   08,015      3          31             32     
   08,026      3          33             0      
   08,040      3          0              36     
   08,059      3          37             38     
   08,062      3          39             0      
   08,063      3          40             0      
   08,064      3          41             0      
   08,065      3          42             0      
   08,066      3          43             0      
   08,067      3          44             0      
   08,068      3          45             0      
   08,069      3          46             0      
   08,070      3          47             0      
   08,071      3          48             0      
   08,072      3          49             0      
   09,000      3          3              4      
   09,001      3          0              12     
   09,002      3          13             14     
   09,003      3          0              20     
   09,004      3          15             0      
   09,005      3          1              2      
   09,006      3          5              6      
   09,007      3          17             18     
   09,008      3          7              8      
   09,009      3          0              10     
   09,010      3          21             22     
   09,011      3          23             24     
   09,012      3          25             26     
   09,013      3          27             28     
   09,014      3          0              30     
   09,015      3          31             32     
   09,026      3          33             34     
   09,040      3          35             0      
   09,059      3          37             38     
   09,062      3          39             0      
   09,063      3          40             0      
   09,064      3          41             0      
   09,065      3          42             0      
   09,066      3          43             0      
   09,067      3          44             0      
   09,068      3          45             0      
   09,069      3          46             0      
   09,070      3          47             0      
   09,071      3          48             0      
   09,072      3          49             0      
   10,000      3          0              4      
   10,001      3          11             0      
   10,002      3          13             0      
   10,003      3          19             0      
   10,004      3          0              16     
   10,005      3          1              0      
   10,006      3          0              6      
   10,007      3          17             0      
   10,008      3          7              0      
   10,009      3          9              0      
   10,010      3          21             0      
   10,011      3          23             24     
   10,012      3          25             0      
   10,013      3          27             0      
   10,014      3          29             0      
   10,015      3          0              32     
   10,026      3          0              34     
   10,040      3          35             36     
   10,062      3          39             0      
   10,063      3          40             0      
   10,064      3          41             0      
   10,065      3          42             0      
   10,066      3          43             0      
   10,067      3          44             0      
   10,068      3          45             0      
   10,069      3          46             0      
   10,070      3          47             0      
   10,071      3          48             0      
   11,000      3          3              0      
   11,001      3          11             0      
   11,002      3          0              14     
   11,003      3          0              20     
   11,004      3          15             16     
   11,005      3          1              2      
   11,006      3          0              6      
   11,007      3          17             18     
   11,008      3          7              0      
   11,009      3          9              0      
   11,010      3          21             22     
   11,011      3          0              24     
   11,012      3          25             26     
   11,013      3          0              28     
   11,014      3          29             30     
   11,015      3          31             0      
   11,026      3          0              34     
   11,040      3          0              36     
   11,059      3          0              38     
   11,062      3          39             0      
   11,063      3          40             0      
   11,064      3          41             0      
   11,065      3          42             0      
   11,066      3          43             0      
   11,067      3          44             0      
   11,068      3          45             0      
   11,069      3          46             0      
   11,070      3          47             0      
   11,071      3          48             0      
   11,072      3          49             0      
   13,008      1          1              0      
   13,009      3          9              33     
   13,012      2          5              0      
   13,013      0          7              0      
   13,021      2          19             32     
   13,022      0          21             12     
   13,023      1          9              0      
   13,024      2          13             35     
   13,025      0          13             34     
   13,026      1          15             0      
   13,027      3          31             0      
   13,028      1          29             0      
   13,150      2          50             0      
   13,151      2          50             0      
   13,152      2          51             0      
   13,153      2          51             0      
   13,154      2          52             0      
   13,155      2          52             0      
   13,156      2          53             0      
   13,157      2          53             0      
   13,158      2          54             0      
   13,159      2          54             0      
   13,169      2          55             0      
   13,170      2          55             0      

   07,034      0          57             0      
   08,034      0          57             0      
   09,034      0          57             0      
   10,034      0          57             0      
   11,034      0          57             0      
   07,035      0          58             0      
   08,035      0          58             0      
