//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide
// WING OF ANGEL AND DEVIL
6345 32355 1  0 1    1    1     1.95 0.0 0.2
6345 32373 14 0 0.53 0.36 1.00  0.0  0.0 0.1
6345 32373 26 0 0.53 0.36 1.00  0.0  0.0 0.1

6353		 32395	  15				0			  0.2		 0.2	  0.5		0.0			   0.0			0.85


//Silver Heart Sword 
112 32124 4 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Magic Sword 
113 32124 4 0 3.0 0.73 6.0 3 -0.005 -0.005


//Silver Heart Scepter
1128 32124 3 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Bow
2152 32124 2 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Staff
2668 32124 11 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Stick
2669 32124 5 0 3.0 0.73 6.0 3 -0.005 -0.005

//hs_7MasteryStick
2671		32124    10 		 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
2671		32387    10			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//master_twohandsw7
117		32124    6 			 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
117		32387    6			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//master7_staff
2670		32124    7 			 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
2670		32124    8 			 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
2670		32387    2			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//mastery_bow07
2153		32124    5 		 	0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
2153		32387    5			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0
2153		32124    13 		 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
2153		32387    13			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//mastery_darkoad7
1129		32124    6 		 	0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
1129		32387    6			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0
1129		32124    7 		 	0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
1129		32387    7			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//mastery7_maigcswrod
116		32124    7 		 	0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
116		32387    7			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0

//masteryknsw_7cha
115		32124    19 		 0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
115		32387    19			 0              0.8		0.6		0.3 		  0.0        -1.0         0.0


//8cha_mastery_septer
1130	  32130    14 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2
1130	  32130    18 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//maigic_swordmaster08
119	  32130    20 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//mastery_stikc8
2673	  32130    3 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//matery_twohandsword
120	  32130    24 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//staff_effect_8cha
2672	  32130    2 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//swrod_8cah
118	  32130    10 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//brilliantbow
2154	  32130    19 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2
2154	  32130    37 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

//Blessed Scepter (absolute_septer.bmd)
1132 32395 24 0 0.35 0.34 1.00 0.0 0.0 10.4
1132 32395 25 0 0.35 0.34 1.00 0.0 0.0 10.4
1132 32395 40 0 0.35 0.34 1.00 0.0 0.0 10.4

//Blessed Stick (absolute_stick.bmd)
2677 32124 17 0 1.00 1.00 1.00 5.0 -0.5 0.7

//blakcNightshild_7
3177		32124    5			0 			    0.8		0.6		0.3 		  3.5         0.4         0.3
3177		32387    5			0				0.8		0.6		0.3 		  0.0        -1.0         0.0

//matery_8chashild
3178	  32130    2 		 0 			    0.4			0.9			1.0 		  1.0        -0.4         0.2

end
